Country,Year,Status,AvgLifeExpectancy,AvgAdultMortality,AvgInfantDeaths,AvgUnderFiveDeaths
India,2015,Developing,68,181,910.0000,1100.0000
India,2014,Developing,68,184,957.0000,1200.0000
India,2013,Developing,68,187,1000.0000,1300.0000
India,2012,Developing,67,19,1100.0000,1400.0000
India,2011,Developing,67,193,1100.0000,1500.0000
India,2010,Developing,66,196,1200.0000,1600.0000
India,2009,Developing,66,2,1300.0000,1700.0000
India,2008,Developing,66,23,1300.0000,1800.0000
India,2007,Developing,65,26,1400.0000,1900.0000
India,2006,Developing,65,28,1500.0000,2000.0000
India,2005,Developing,64,211,1500.0000,2000.0000
India,2004,Developing,64,214,1600.0000,2100.0000
India,2003,Developing,64,216,1700.0000,2200.0000
India,2002,Developing,63,219,1700.0000,2300.0000
India,2001,Developing,63,222,1800.0000,2400.0000
India,2000,Developing,62,224,1800.0000,2500.0000
Afghanistan,2015,Developing,65,263,62.0000,83.0000
Afghanistan,2014,Developing,60,271,64.0000,86.0000
Afghanistan,2013,Developing,60,268,66.0000,89.0000
Afghanistan,2012,Developing,60,272,69.0000,93.0000
Afghanistan,2011,Developing,59,275,71.0000,97.0000
Afghanistan,2010,Developing,59,279,74.0000,102.0000
Afghanistan,2009,Developing,59,281,77.0000,106.0000
Afghanistan,2008,Developing,58,287,80.0000,110.0000
Afghanistan,2007,Developing,58,295,82.0000,113.0000
Afghanistan,2006,Developing,57,295,84.0000,116.0000
Afghanistan,2005,Developing,57,291,85.0000,118.0000
Afghanistan,2004,Developing,57,293,87.0000,120.0000
Afghanistan,2003,Developing,57,295,87.0000,122.0000
Afghanistan,2002,Developing,56,3,88.0000,122.0000
Afghanistan,2001,Developing,55,316,88.0000,122.0000
Afghanistan,2000,Developing,55,321,88.0000,122.0000
Albania,2015,Developing,78,74,0.0000,0.0000
Albania,2014,Developing,78,8,0.0000,1.0000
Albania,2013,Developing,77,84,0.0000,1.0000
Albania,2012,Developing,77,86,0.0000,1.0000
Albania,2011,Developing,77,88,0.0000,1.0000
Albania,2010,Developing,76,91,1.0000,1.0000
Albania,2009,Developing,76,91,1.0000,1.0000
Albania,2008,Developing,75,1,1.0000,1.0000
Albania,2007,Developing,76,9,1.0000,1.0000
Albania,2006,Developing,74,99,1.0000,1.0000
Albania,2005,Developing,74,15,1.0000,1.0000
Albania,2004,Developing,73,17,1.0000,1.0000
Albania,2003,Developing,73,18,1.0000,1.0000
Albania,2002,Developing,73,15,1.0000,1.0000
Albania,2001,Developing,74,14,1.0000,1.0000
Albania,2000,Developing,73,11,1.0000,1.0000
Belgium,2015,Developed,81,74,0.0000,1.0000
Belgium,2014,Developed,89,76,0.0000,1.0000
Belgium,2013,Developed,87,77,0.0000,1.0000
Belgium,2012,Developed,83,78,0.0000,1.0000
Belgium,2011,Developed,83,8,0.0000,1.0000
Belgium,2010,Developed,80,81,0.0000,1.0000
Belgium,2009,Developed,80,85,0.0000,1.0000
Belgium,2008,Developed,80,87,0.0000,1.0000
Belgium,2007,Developed,80,86,0.0000,1.0000
Belgium,2006,Developed,79,85,0.0000,1.0000
Belgium,2005,Developed,79,89,0.0000,1.0000
Belgium,2004,Developed,79,91,1.0000,1.0000
Belgium,2003,Developed,78,95,0.0000,1.0000
Belgium,2002,Developed,78,99,1.0000,1.0000
Belgium,2001,Developed,78,1,1.0000,1.0000
Belgium,2000,Developed,78,11,1.0000,1.0000
Spain,2015,Developed,83,56,1.0000,1.0000
Spain,2014,Developed,83,58,1.0000,1.0000
Spain,2013,Developed,82,6,1.0000,2.0000
Spain,2012,Developed,82,61,1.0000,2.0000
Spain,2011,Developed,82,63,1.0000,2.0000
Spain,2010,Developed,82,64,1.0000,2.0000
Spain,2009,Developed,82,66,2.0000,2.0000
Spain,2008,Developed,81,7,2.0000,2.0000
Spain,2007,Developed,89,72,2.0000,2.0000
Spain,2006,Developed,88,73,2.0000,2.0000
Spain,2005,Developed,81,77,2.0000,2.0000
Spain,2004,Developed,81,79,2.0000,2.0000
Spain,2003,Developed,79,83,2.0000,2.0000
Spain,2002,Developed,80,83,2.0000,2.0000
Spain,2001,Developed,79,84,2.0000,2.0000
Spain,2000,Developed,79,86,2.0000,2.0000
Romania,2015,Developed,75,133,2.0000,2.0000
Romania,2014,Developed,75,135,2.0000,2.0000
Romania,2013,Developed,75,138,2.0000,2.0000
Romania,2012,Developed,74,138,2.0000,2.0000
Romania,2011,Developed,74,139,2.0000,2.0000
Romania,2010,Developed,73,153,2.0000,2.0000
Romania,2009,Developed,73,158,2.0000,3.0000
Romania,2008,Developed,73,159,2.0000,3.0000
Romania,2007,Developed,73,154,3.0000,3.0000
Romania,2006,Developed,72,157,3.0000,4.0000
Romania,2005,Developed,72,162,3.0000,4.0000
Romania,2004,Developed,72,165,4.0000,4.0000
Romania,2003,Developed,71,174,4.0000,4.0000
Romania,2002,Developed,77,178,4.0000,5.0000
Romania,2001,Developed,78,179,4.0000,5.0000
Romania,2000,Developed,77,175,4.0000,5.0000
